"cohortId","cohortName","atlasId","description","createdDate","modifiedDate","librarian","cohortNameFormatted","lastModifiedBy","cohortNameLong","status","addedVersion","logicDescription","hashTag","contributors","contributorOrcIds","contributorOrganizations","peerReviewers","peerReviewerOrcIds","recommendedReferentConceptIds","ohdsiForumPost","replaces","notes","cohortNameAtlas","recommendedEraPersistenceDurations","recommendedEraCollapseDurations","recommendSubsetOperators","id","name"
16,"[W] Exposure to SARS-Cov 2 and coronavirus",16,"cohortNameLong : Exposure to SARS-Cov 2 and coronavirus;
librarian : rao@ohdsi.org;
status : ;
addedVersion : ;
logicDescription : ;
hashTag : ;
contributors : ;
contributorOrcIds : ;
contributorOrganizations : ;
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : ;
ohdsiForumPost : ;
replaces : ;
","2021-09-23","2023-09-19","rao@ohdsi.org","Exposure to SARS-Cov 2 and coronavirus",,"Exposure to SARS-Cov 2 and coronavirus","","","","","","","","","","","","",,,,,,16,16
17,"[P][R] Exposure to SARS-CoV-2 ",17,"cohortNameLong : Exposure to SARS-CoV-2;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Exposure to SARS-CoV-2. Persons exit on cohort end date;
hashTag : #Referent, #Observation;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 37311059;
ohdsiForumPost : ;
replaces : ;
","2021-09-23","2023-09-19","rao@ohdsi.org","Exposure to SARS-CoV-2",,"Exposure to SARS-CoV-2","Pending peer review","","all events of Exposure to SARS-CoV-2. Persons exit on cohort end date","#Referent, #Observation","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","37311059","","",,,,,,17,17
18,"[P][R] Multisystem inflammatory syndrome (MIS) ",18,"cohortNameLong : Multisystem inflammatory syndrome (MIS);
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Multisystem inflammatory syndrome (MIS). Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 703578;
ohdsiForumPost : ;
replaces : ;
","2021-09-23","2023-09-19","rao@ohdsi.org","Multisystem inflammatory syndrome (MIS)",,"Multisystem inflammatory syndrome (MIS)","Pending peer review","","all events of Multisystem inflammatory syndrome (MIS). Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","703578","","",,,,,,18,18
20,"[P] Bronchitis or Bronchiolitis",20,"cohortNameLong : Bronchitis or Bronchiolitis;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : All events of Bronchitis;
hashTag : #Symptoms;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 256451, 260139;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2021-09-23","2023-09-25","rao@ohdsi.org","Bronchitis or Bronchiolitis",,"Bronchitis or Bronchiolitis","Pending peer review","","All events of Bronchitis","#Symptoms","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","256451, 260139","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,20,20
21,"[P] Acute respiratory distress syndrome (ARDS) or Acute Respiratory Failure",21,"cohortNameLong : Acute respiratory distress syndrome (ARDS) or Acute Respiratory Failure;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : All events of Acute respiratory distress syndrome (ARDS) or Acute Respiratory Failure;
hashTag : ;
contributors : ;
contributorOrcIds : ;
contributorOrganizations : ;
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 319049;
ohdsiForumPost : ;
replaces : ;
","2021-09-23","2023-09-19","rao@ohdsi.org","Acute respiratory distress syndrome (ARDS) or Acute Respiratory Failure",,"Acute respiratory distress syndrome (ARDS) or Acute Respiratory Failure","Pending peer review","","All events of Acute respiratory distress syndrome (ARDS) or Acute Respiratory Failure","","","","","","","319049","","",,,,,,21,21
22,"[W] SARS-CoV-2 testing",22,"cohortNameLong : SARS-CoV-2 testing;
librarian : rao@ohdsi.org;
status : Withdrawn;
addedVersion : ;
logicDescription : Withdrawn by contributor before peer review;
hashTag : ;
contributors : ;
contributorOrcIds : ;
contributorOrganizations : ;
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : ;
ohdsiForumPost : ;
replaces : ;
","2021-09-23","2023-09-19","rao@ohdsi.org","SARS-CoV-2 testing",,"SARS-CoV-2 testing","Withdrawn","","Withdrawn by contributor before peer review","","","","","","","","","",,,,,,22,22
23,"Inpatient Hospitalization (1Pe, 0Era)",23,"cohortNameLong : Inpatient Hospitalization (1Pe, 0Era);
librarian : rao@ohdsi.org;
status : Accepted;
addedVersion : 3.4.0;
logicDescription : All events of Inpatient visit. This cohort is deemed validated as it represents data convention and did not need to go thru peer review process;
hashTag : #standard, #Visits;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : ;
ohdsiForumPost : ;
replaces : ;
","2021-09-23","2023-09-19","rao@ohdsi.org","Inpatient Hospitalization (1Pe, 0Era)",,"Inpatient Hospitalization (1Pe, 0Era)","Accepted","3.4.0","All events of Inpatient visit. This cohort is deemed validated as it represents data convention and did not need to go thru peer review process","#standard, #Visits","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","","","",,,,,,23,23
24,"Emergency room visits (0Pe, 0Era)",24,"cohortNameLong : Emergency room visits (0Pe, 0Era);
librarian : rao@ohdsi.org;
status : Accepted;
addedVersion : 3.4.0;
logicDescription : All events of Emergency Room visits. This cohort is deemed validated as it represents data convention and did not need to go thru peer review process;
hashTag : #standard, #Visits;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : ;
ohdsiForumPost : ;
replaces : ;
","2021-09-23","2023-09-19","rao@ohdsi.org","Emergency room visits (0Pe, 0Era)",,"Emergency room visits (0Pe, 0Era)","Accepted","3.4.0","All events of Emergency Room visits. This cohort is deemed validated as it represents data convention and did not need to go thru peer review process","#standard, #Visits","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","","","",,,,,,24,24
25,"All cause mortality",25,"cohortNameLong : All cause mortality;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : 3.4.0;
logicDescription : Earliest observation of any death;
hashTag : #standard;
contributors : Gowtham A Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : ;
ohdsiForumPost : ;
replaces : ;
","2021-09-23","2023-09-19","rao@ohdsi.org","All cause mortality",,"All cause mortality","Pending peer review","3.4.0","Earliest observation of any death","#standard","Gowtham A Rao","'0000-0002-4949-7236'","'OHDSI'","","","","","",,,,,,25,25
27,"[P] Asthma without COPD",27,"cohortNameLong : Asthma without COPD;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : Earliest of either asthma diagnosis or therapy for asthma with a history of another asthma therapy more than 180 days before. The person should not have a diagnosis or treatment for COPD in past;
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 317009;
ohdsiForumPost : ;
replaces : ;
","2021-09-23","2023-09-19","rao@ohdsi.org","Asthma without COPD",,"Asthma without COPD","Pending peer review","","Earliest of either asthma diagnosis or therapy for asthma with a history of another asthma therapy more than 180 days before. The person should not have a diagnosis or treatment for COPD in past","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","317009","","",,,,,,27,27
29,"[W] Autoimmune condition (FP)",29,"cohortNameLong : Autoimmune condition (FP);
librarian : rao@ohdsi.org;
status : Withdrawn;
addedVersion : ;
logicDescription : Withdrawn by contributor before peer review. No clinical description, evaluation or discussions found. May need to be revisited in future;
hashTag : ;
contributors : ;
contributorOrcIds : ;
contributorOrganizations : ;
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 76685, 80809, 81893, 81931, 134442, 134618, 135215, 140168, 194992, 199856, 201254, 201606, 254443, 257628, 374919, 432295, 438688, 443394, 4137275, 4232076;
ohdsiForumPost : ;
replaces : ;
","2021-09-23","2023-09-19","rao@ohdsi.org","Autoimmune condition (FP)",,"Autoimmune condition (FP)","Withdrawn","","Withdrawn by contributor before peer review. No clinical description, evaluation or discussions found. May need to be revisited in future","","","","","","","76685, 80809, 81893, 81931, 134442, 134618, 135215, 140168, 194992, 199856, 201254, 201606, 254443, 257628, 374919, 432295, 438688, 443394, 4137275, 4232076","","",,,,,,29,29
30,"[P] Tuberculosis with treatment using anti tubercular drug",30,"cohortNameLong : Tuberculosis;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : All events of tuberculosis with at least 3 different drugs for tuberculosis at anytime on or after diagnosis;
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 253954, 434557;
ohdsiForumPost : ;
replaces : ;
","2021-09-23","2023-09-25","rao@ohdsi.org","Tuberculosis with treatment using anti tubercular drug",,"Tuberculosis","Pending peer review","","All events of tuberculosis with at least 3 different drugs for tuberculosis at anytime on or after diagnosis","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","253954, 434557","","",,,,,,30,30
31,"[P] Malignant neoplasm excluding non-melanoma skin cancer",31,"cohortNameLong : Malignant neoplasm excluding non-melanoma skin cancer;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : All events with a malignant neoplastic disease or history of malignant neoplastic disease;
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 137809, 443392;
ohdsiForumPost : ;
replaces : ;
","2021-09-23","2023-09-19","rao@ohdsi.org","Malignant neoplasm excluding non-melanoma skin cancer",,"Malignant neoplasm excluding non-melanoma skin cancer","Pending peer review","","All events with a malignant neoplastic disease or history of malignant neoplastic disease","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","137809, 443392","","",,,,,,31,31
32,"[P] Obesity",32,"cohortNameLong : Obesity;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : Persons with obesity diagnosis or a body weight measurement > 120 kg or 265 lbs;
hashTag : #Symptoms;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 433736;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2021-09-23","2023-09-25","rao@ohdsi.org","Obesity",,"Obesity","Pending peer review","","Persons with obesity diagnosis or a body weight measurement > 120 kg or 265 lbs","#Symptoms","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","433736","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,32,32
33,"[P] Dementia",33,"cohortNameLong : Dementia;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : Persons with the diagnosis of dementia, includes history of Dementia;
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 4182210;
ohdsiForumPost : ;
replaces : ;
","2021-09-23","2023-09-25","rao@ohdsi.org","Dementia",,"Dementia","Pending peer review","","Persons with the diagnosis of dementia, includes history of Dementia","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","4182210","","",,,,,,33,33
34,"[P] Hypertensive disorder or hypertensive complications",34,"cohortNameLong : Hypertensive disorder or hypertensive complications;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : Hypertensive disorder diagnosis or complication of hypertension;
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 312648, 4028741;
ohdsiForumPost : ;
replaces : ;
","2021-09-23","2023-09-19","rao@ohdsi.org","Hypertensive disorder or hypertensive complications",,"Hypertensive disorder or hypertensive complications","Pending peer review","","Hypertensive disorder diagnosis or complication of hypertension","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","312648, 4028741","","",,,,,,34,34
35,"[W] Chronic kidney disease (FP)",35,"cohortNameLong : Chronic kidney disease (FP);
librarian : rao@ohdsi.org;
status : Withdrawn;
addedVersion : ;
logicDescription : Withdrawn by contributor before peer review. No clinical description, evaluation or discussions found. May need to be revisited in future;
hashTag : ;
contributors : ;
contributorOrcIds : ;
contributorOrganizations : ;
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 192359, 193782;
ohdsiForumPost : ;
replaces : ;
","2021-09-23","2023-09-19","rao@ohdsi.org","Chronic kidney disease (FP)",,"Chronic kidney disease (FP)","Withdrawn","","Withdrawn by contributor before peer review. No clinical description, evaluation or discussions found. May need to be revisited in future","","","","","","","192359, 193782","","",,,,,,35,35
36,"[P] Human immunodeficiency virus (not HIV2) infection",36,"cohortNameLong : Human immunodeficiency virus (not HIV2) infection;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : Earliest diagnosis of HIV (not HIV2) with another diagnosis in future or a treatment for HIV;
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 439727;
ohdsiForumPost : ;
replaces : ;
","2021-09-23","2023-09-19","rao@ohdsi.org","Human immunodeficiency virus (not HIV2) infection",,"Human immunodeficiency virus (not HIV2) infection","Pending peer review","","Earliest diagnosis of HIV (not HIV2) with another diagnosis in future or a treatment for HIV","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","439727","","",,,,,,36,36
