oldPhenotypeId,newPhenotypeId,phenotypeId,phenotypeName,referentConceptId,clinicalDescription,literatureReview,phenotypeNotes,deprecate
77074000,4094294000,77074000,Joint pain,77074,"Overview: [Deprecated in favor of Clinical Signs and Symptoms 4094294000] Physical discomfort where two or more bones meet to form a joint, ranging from mild to disabling. Many different conditions can lead to joint pain, including osteoarthritis, rheumatoid arthritis, bursitis, gout, strains, sprains, and other injuries. Joint pain is extremely common. Knee pain most common complaint. Presentation: limited or decreased mobility, pain or tenderness upon palpation Assessment: Self-report, physical exam, x-rays to rule-out injury and to identify arthritis-related joint damage. Screen for certain autoimmune disorders. Sedimentation rate test to measure the level of inflammation in the body or a complete blood count (CBC). Plan: Medication - nonsteroidal anti-inflammatory drug (NSAID) such as aspirin, ibuprofen, or naproxen sodium, physical therapy, or alternative treatments. Tylenol, opioids, muscle relaxants, or antidepressants and antiepileptic drugs (interfere with pain signals)Prognosis: Depends on the cause. Early detection and diagnosis can allow for effective treatment of the underlying cause of discomfort.",,Needs revision - non specific,Y
80180000,73553000,80180000,Osteoarthritis,80180,"Overview: [Deprecated in favor of Arthropathy, 73553000] Most common form of arthritis (inflammation), affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of bones wears down over time. Although osteoarthritis can damage any joint, the disorder most commonly affects joints in hands, knees, hips and spine. Presentation: pain in affected joints, stiffness, tenderness, loss of flexibility, grating sensation, bone spurs, and swellingAssessment: physical exam, imaging, rule-out rheumatoid arthritis, and joint fluid analysis (rule-out infection)Plan: Acetaminophen, NSAIDs, Cymbalta, Cortisone injections, lubrication injections, realigning bones, or joint replacement Prognosis: Gradually and worsens over time. Depends on which joints are affected and whether or not they are causing symptoms and impaired function.",,,Y
80182000,80182000,80182000,Dermatomyositis,80182,"Overview: Autoimmune condition that causes skin changes and muscle weakness (idiopathic inflammatory myopathy). Unknown cause. Presentation: Red skin rash around the eyelids, red bumps around the joints (Gottron papules), arm and leg muscle weakness, joint pain. Assessment: Clinical exam, blood analysis - creatine kinase (CK) and lactic dehydrogenase (LDH), autoantibodies; skin or muscle biopsy, Electromyography (EMG), MRI to scan muscles. Plan: Manage symptoms - corticosteroids, immunosuppressants, physical therapy, and exercise. Prognosis: Symptom improvement. Chronic - can last for years or be lifelong. Muscle weakness gets worse over time and leads to stiff joints and muscle wasting.",,,
80204000,80204000,80204000,Fetal growth restriction,80204,"Overview: aka - intrauterine growth restriction IUGR. When a fetus fails to reach it's biological growth potential due to environmental factors including placental dysfunction. There is discrepancies between actual and expected sonographic biometric measurements for a given gestational age. Traditionally, it has been defined as <10th percentile weight for gestational age on a singleton growth curve, as this establishes the diagnosis as being small for gestational age (SGA). Distinct from ""small for gestational age"" (which is caused by constitutionally small fetus or congenital/intrinsic non environmental fetal causes). Presentation: Most commonly detected in natal ultrasound - mismatch between pregnancy dates and fetal growth on ultrasound. sometimes associated with inadequate weight gain during pregnancy. Assessment: Serial ultrasounds to evaluate the fetus, placenta, amniotic fluid index, and umbilical artery dopplers. Plan: find the cause. Genetic causes. Evaluate for infections. Antiphospholipid syndrome. Manage reversible causes of growth restriction (stop smoking, treat infections), nonstress testing, correct nutritional deficiencies such as iron, treat any infections present, treat high blood pressure. Prognosis: If umbilical artery function critically low, preterm delivery is indicated. Can result in intrauterine fetal demise. Stillbirth, neonatal death, neonatal morbidity, and abnormal neurodevelopmental outcome in perinatal region. Long-term as child grows, commonly associated with cardiovascular, metabolic endocrine disease/dysfunction.",,,
80502000,80502000,80502000,Osteoporosis,80502,"Overview: Porous bone. A bone disease that occurs when the body loses too much bone, makes too little bone, or both. As a result, bones become weak and may break from a fall or, in serious cases, from sneezing or minor bumps. Risk factors for osteoporosis include aging, being female, low body weight, low sex hormones or menopause, smoking, and some medications. Presentation: Silent disease. Breaking a bone is often the first sign or may notice getting shorter or upper back is curving forward. Assessment: Bone density test - DEXA scan (diagnose bone loss), and imaging Plan: Prevention and treatment include calcium and vitamin D, exercise, and osteoporosis medications - BisphosphonatesPrognosis: Important to prevent falls and fractures. Is good if bone loss is detected in the early phases and proper intervention is undertaken.",,,
80809000,73553000,80809000,Rheumatoid arthritis,80809,"Overview: [Deprecated in favor of Arthropathy, 73553000] A chronic, progressive, systemic inflammatory disorder that primarily involves the synovial joints, typically in a symmetrical fashion leading to uncontrolled erosion of cartilage and bone with deformities. Presentation: typically, the disease is slow in onset with pain, early morning stiffness, swelling of finger/toe joints. Assessment: check for rheumatoid factor in serum, imaging of joints for erosion and bony deformity. No diagnostic test, clinical features with rheumatoid factor positivity helps establish diagnosis. Plan: early recognition with long term care Plan: to slow disease progression and symptom management. Nonbiologic and biologic DMARDs, antiinflammatory drugs. Prognosis: slow progressive joint disease with flare, very rarely remission may occur – otherwise lifelong debilitating illness.",,,Y
81893000,4043371000,81893000,Ulcerative colitis,81893,"Overview:  [Deprecate in favor of Inflammatory disorder of digestive tract, 4043371000] is a disease with recurring episodes of inflammation limited to the mucosal layer of the colon, especially rectum. The key differences compared to Crohn’s disease is continuos fashion involvement starting from rectum. Presentation: pain in colonic area, bloody diarrhoea, tenesmus and urgency. Chronic long-term disease maybe associated with strictures and obstruction. Assessment: Exclude other causes of symptoms such as infectious colitis, tough to differentiate from Crohn’s disease. Plan: Management depends on severity of symptoms, extent of disease, and risk of disease progression. Followup colonoscopy to monitor (colon cancer screening). Mesalamine, glucocorticosteroids, 5-ASA, Prognosis: Lifelong disease with potential for long-term remissions with periodic flares. Complications or disease progression may be associated with narrowing strictures and development of colon cancer.",,,Y
81902000,81902000,81902000,Urinary tract infectious disease,81902,"Overview: Urinary Tract Infection (UTI). An infection in any part of the urinary system, the kidneys, bladder, or urethra. Occurs when bacteria enters the urinary tract through the urethra and begin to multiply in the bladder. Presentation: strong urge to urinate, burning sensation when urinating, cloudy/can be red/pink urine, urinary frequency, pelvic pain in women. (depends too on whihc part of the urinary tract is infected - acute pyelonephritis, cyctitis, urethritis). Assessment: Urinalysis, urine culture, if frequent infections or abnormality in urinary tract = ultrasound, CT, MRI, or cystoscopy. Plan: Antibiotics, analgesics (relieve burning) Prognosis: Symptoms clear up within a few days of treatment",,,
81931000,73553000,81931000,Psoriatic arthritis,81931,"Overview: [Deprecated in favor of Arthropathy, 73553000] Psoriatic Arthritis (PsA) ia a type of inflammatory autoimmune condition that can cause chronic pain in and around joints and tendons, if left untreated, can lead to permanent joint damage. Some people with psoriasis develop psoriatic arthritis. Presentation: Some people with psoriasis can also develop psoriatic arthritis, manifested by painful, stiff and swollen joints. Assessment: Symptoms vary from person to person, look for swollen and paniful joints, skin and nail changes typical of psoriasis. Symptoms flare and subside. Plan:Treatment may include medication to reduce inflammation, steroid injections, or joint replacement surgery. Prognosis: Mild to chronic, can last for years or be lifelong.Early diagnosis is important to avoid joint damage.",,,Y
132702000,132702000,132702000,Erythema multiforme,132702,"Overview: Erythema multiformae (EM) is an acute, immune mediated manifestation characterized by distinctive circular target shaped skin lesions - often accompanied by erosions or bullates involving the oral, genital and/or occular mucosae. EM major is used to describe severe mucosal involvement, EM minor refers to EM without mucosal involvement. Most commonly induced by infection, commonly herpes simplex, mycoplasma pneumoniae. Can also be precipitated by drugs (NSAIDs, sulfonamides, antiepileptics, and antibiotics). EM major is considered to be distinct disease from Stevens-Johnson syndrome (SJS) (usually a drug-induced disorder that may present with cutaneous, targetoid lesions and mucosal erosions. Atypical target lesions of SJS tend to be macular, rather than the papular lesions associated with EM). Presentation: Either after an infection or an offending drug development of multiple, sometimes spreading rashes. Assessment: Skin biopsy with staining to rule out autoimmune disease and other causes (rule out cuaneous small vessel vasculitis, bullous pemphigoid, fixed drug eruption, urticaria). Plan: If not autoimmune disease, topical steroids. If severe, systemic treatment with mycophenolate, thalidomide, immunoglobulins. Systemic corticosteroids are also used. Prognosis: self-limited, resolving within weeks without significant sequale. A subset of patients may develop recurrent EM over many years with substantial morbidity.",,,
132703000,132703000,132703000,Lichen planus,132703,"Overview: is a rare disease affecting middle aged adults most commonly affecting skin as pruritic, purple, polygonal and papular lesions lasting a few millimeters each, that may coalesce to forms large lesions over time. Common areas of extremities, scalp and genitalia. It may also involve the mucus members of the oral cavity and esophagus. It is commonly associated with hepatitis C. Presentation: development of pruritic, purple, polygonal, papular lesions in the extremities that are few millimeters in size. Assessment: clinical examination, no specific testingPlan: no recommended treatment. Options include corticosteroids, phototherapy. Prognosis: commonly remits over few years",,,
132797000,201965000,132797000,Sepsis,132797,"Overview: [Deprecated in favor of Shock 201965000] Septicemia. Caused by the body's response to an infection. The body normally releases chemicals into the bloodstream to fight an infection. Sepsis occurs when the body's response to these chemicals is out of balance, triggering changes that can damage multiple organ systems. Stages = sepsis, severe sepsis, septic shockPresentation: fever (> 101 F), or below 96.8 F; difficulty breathing, low blood pressure, fast heart rate, and mental confusion. damaged organs. Assessment: confirmed infection, abnormal WBC, CXR, CT, ultrasound, MRI; quick sequential organ failure Assessment: (qSOFA)= sepsis criteria (low BP, RR high, & GCS <15)Plan: Antibiotics, IVFs, vasoactive meds, insulin, corticosteroids Prognosis: Life-threatening, can result in death. Many people who survive will recover completely. Depends on the severity and preexisting conditions.",,,Y
133169000,4175485000,133169000,Myelofibrosis,133169,"Overview: [Deprecated in favor of Myeloproliferative disorder, 4175485000] Rare blood cancer, a form of chronic leukemia were bone marrow is replaced by fibrous scar tissue losing its ability to produce normal blood cells. Primary (occurs on its own) or Secondary (as the result of a separate disease)Presentation: anemia, pale, enlarged spleen, portal HTN, nigt sweats, fever, itching, frequent infections, blood clots, bone or joint pain, bruising, and extramedullary hematopoiesis. Assessment: Clinical exam, CBC (elevated WBC and platelets and lower RBCs), Elevated levels of uric acid, bilirubin, and lactic dehydrogenase; gene mutation analysis - JAK2, CALR, or MPL mutation, bone marrow aspiration & biopsy, ultrasound (enlarged spleen), Myeloproliferative Neoplasm-Symptom Assessment Form Total Symptom Score (MPN-SAF TSS). Plan: multikinase inhibitor (ruxolitinib), glucocorticoids, androgens, immunomodulators, chmoe and blood transfusions, if needed splenectomy or radiation therapy; allogenic hematopoietic stem cell transplantation (HSCT) is a potential cure. Prognosis: Serious & progressive disease, can progress to acute myeloid leukemia (AML); many factors to eval for Prognosis: - International Prognosis: scoring system (IPSS)",,,Y
133444000,133444000,133444000,Thyroiditis,133444,"Overview: diverse group of disorders characterized by some form of thyroid inflammation, causing acute or chronic, painful or painless thyroiditis. Major diagnostic criterias are dominated by presence of pain and tenderness. Pain and tenderness occurs with subacute thyroiditis with unregulated thyroid hormone level fluctuations - includes de Quervains, subacute granulomatous - thought to post viral illness. Infectious thyroiditis is also painful and tender and may be acute - e.g. bacterial with abscess suppurative, or chronic infection.  Pain and tenderness is absense in silent/lymphocytic/painless thyroiditis that may occur secondary to autoimmune causes (hashimotos). Postpartum thyroiditis is known to occur within 1 year of parturition - and history of pregnancy is an important classifier. Drugs like interferon alfa, interleukin-2, amiodarone, lithium, tyrosine kinase inhibitors, check point inhibitors immunotherapy may cause painless non tender thyroiditis. Presentation: Painful thyroiditis has obvious symptoms of pain in thyroid region, seasonality (summer) in pattern may exist because etiology is commonly thought to be post viral. Painless thyroiditis have history of hyperthyroidism like symptoms followed by hypothyroidism - however rarely are these symptoms severe, and are almost always transient many go undetected. Assessment: TSH followed by T3 and T4. Physical exam to confirm tenderness. Subacute/acute thyroiditis is a clinical diagnosis. Medication review, anti thyroid antibodies, thyroid ultrasound. Plan: Find and treat underlying cause of thyroid inflammation (medications, surgery). Beta blockers for bothersome thyroiditis. If symptomatic hypothyroidism, consider T4 (levothyroxine) therapy. Pain management if needed. Prognosis: Typically excellent prognosis.",,,
133834000,43021226000,133834000,Atopic dermatitis,133834,"Overview: Atopic dermatitis is part of a spectrum of hypersensitivity/allergic conditions. Presentation: It is characterized by dry, severely itchy/pruritic skin – but presentation is highly variable. Acute onset may be intensely pruritic erythematous papules and vesicles with exudation and crusting. Sub-acute or chronic states may have a long-standing history of dry, scaly or excoriated erythematous papules with skin thickening from chronic scratching (lichenification) and fissuring. Assessment: Diagnosis is based on clinical judgment and performed by elimination of triggers that might reduce symptoms. Plan: Identify trigger, symptom management, and steroids as needed. Prognosis: resolves with elimination of trigger.",,,Y
134442000,134442000,134442000,Systemic sclerosis,134442,"Overview: is the presence of presence of thickened, hardened skin and is the hallmark of ‘Systemic Sclerosis’. Systemic Sclerosis (SSc) is a multisystem disease characterized by progressive fibrosis of skin and internal organs. Presentation: Skin manifestations are universal in Systemic Sclerosis (SSc) but the extent and degree may vary. Symptoms of systemic involvement may appear later – commonly lung disease related breathless on exertion, nonproductive cough. Raynaud’s phenomenon is commonAssessment: Common serologic markers are Antinuclear antibody (95% sensitivity), Antitopoisomerase I (anti-SCL-70) antibody positivity, anticentromere antibody, anti-RNA polymerase III antibody. Plan: customized treatment tailored to individual patients, that involves systemic immunosuppressive therapy. Prognosis: Progression of systemic disease may lead to mortality. This is a long-term progressive disease.",,,
136774000,136774000,136774000,Pityriasis rubra pilaris,136774,"Overview: (PRP) A group of skin conditions (rare) that cause constant inflammation and scaling of the skin. Cover the entire body or just parts of the body such as the elbows and knees, palms and soles. The palms and soles are usually involved and become diffusely thickened and yellowish (palmoplantar keratoderma). Juvenile and adult - cause and onset are unknown. Presentation:reddish-orange coloured scaling patches with well-defined borders, itchy, can spread over the entire body Assessment: Clinical appearance and skin biopsy, fail to respond to pssoriasis treatment Plan: Topical emollients, methotrexate, Acitretin, Isotretinoin, immunosuppresants, biologics, UV light therapy Prognosis: Inherited forms of PRP tend to persist throughout life whilst the sporadically acquired forms tend to resolve spontaneously eventually after one to three years",,,
137977000,4094294000,137977000,Jaundice,137977,"Overview: [Deprecated in favor of Clinical Signs and Symptoms 4094294000] A condition in which the skin, whites of the eyes and mucous membranes turn yellow because of a high level of bilirubin. Jaundice may occur if the liver cannot process RBCs as they break down. Normal in healthy newborns (neonatal jaundice) and usually clears on its own. At other ages, it may signal infection or liver disease. Types: Hepatocellular jaundice, Hemolytic jaundice, and Obstructive jaundice. Presentation: (Adult jaundice) - caused by infection then can see fever, chills, abdominal pain, flu-like ymptoms, change in skin color, dark urine and/or clay-colored stool. Can also have wgt loss and pruritus; signs of liver disease (bruising, spide angiomas, palmar erythema) Assessment: UA (positive for bilirubin), CBC and bilirubin levels, ultrasound and CT, liver exam and biopsy Plan: Jaundice usually does not require treatment in adults, but treat the underlying cause Prognosis: As underlying condition goes away or improves, jaundice goes away.",,,Y
138379000,138379000,138379000,Chronic lymphoid leukemia,138379,"Overview: mature B cell neoplasm characterized by a progressive accumulation of monoclonal B lymphocytes. Similar to non-Hodgkins lymphoma SLL, but the key difference is that this disease manifests primarily in blood, while SLL in primarily lymph node. Presentation: most commonly asymptomatic and detected on routine blood test with abnormal lymphocytosis. Occassionally there may be constitutional symptoms like unexplained weight loss, fevers, night sweats, fatigue. CLL does not have lymphadenopathy while non-HL/SLL does. Assessment: Suspected when there is absolute lymphocytosis on peripheral smear. periheral blood/bone marrow cell counts, immunophenotypic analysis (flow cytometry), bone marrow biopsy/aspirate, lymph node biopsy/aspirate, spleen. Plan: depends on activity of disease/stage; the disease is extremelly heterogenous. Nodal diseae may involve radiation therapy. There is no single agreed first line therapy. Prognosis: chronic disease but may be asymptomatic with minimal progression, or may progress quickly",,,
138502000,138502000,138502000,Vitiligo,138502,"Overview: Vitiligo is the most frequent cause of acquired depigmentation disorder of skin that is characterized by development of well-defined white macules on the skin. Presentation: Vitiligo typically presents with asymptomatic patches of skin that is milky/chalky white in color without signs of inflammation. Although it can appear at any age or anywhere on the body, it has predilection for the face, around orifices, in genitals, and hands. Depigmentation of hair may also occur. Most commonly Vitiligo is non-segmental but can be segmental too especially around the trigeminal nerve distribution. Assessment: Clinical diagnosis is straightforward based on history and clinical examination. Routine skin biopsy is not needed. Plan: If rapid progression is suspected, low-dose oral corticosteroids. Phototherapy may cause stabilization. Prognosis: Clinical course is variable, may remain stable or slowly progress – with extent and distribution changing over lifetime.",,,
138994000,4175485000,138994000,Myelodysplastic syndrome,138994,"Overview: [Deprecated in favor of Myeloproliferative disorder, 4175485000]  (MDS). Disease maybe part of the spectrum of acute myeloid leukemia (AML) but with lower percentage of blast cells in peripheral blood and bone marrow (by definition < 20%). It is a group of hematologic malignancies characterized by clonal hematopoesis of one or more cell lines leading to anemia, neutropenia or thrombocytopenia. Presentation: high variability but depends on underlying cell line impacted. Cytopenia related fatigure, infections, or asymptomatic. Assessment: Suspected in all patients with symptoms of anemia, infections, or bleeding/bruising.. Complete blood count/smear, bone marrow examination, iron statining to detect ring sideroblasts. Diagnosis is based on pathological examination along with cytogentic. Plan: Treat the symptomatic anemia, thrombocytopenia, recurrent infections. Rx with granulocyte CSF and granulocyte-macrophage CSF may be beneficial in somePrognosis: Chronic disease where progression to bone marrow failure has poor prognosis.",,,Y
139803000,4190307000,139803000,Myelitis transverse,139803,"Overview: [Deprecate in favor of Inflammation of Central Nervous System 4190307000] Transverse myelitis is a rare acute acquired neuro-immune spinal cord mixed inflammatory (involves both gray and white matter) disorder that presents with rapid onset of (bilateral) motor (weakness, balance problems), sensory alterations and autonomic (bowel/bladder) dysfunction, and is used to refer all causes of inflammatory myelopathy, regardless of degree or severity. It is commonly a post infectious complication, but may also occur as a continuum of (acute on) neuro-inflammatory disorders such as acute disseminated encephalomyelitis, multiple sclerosis, neuromyelitis optica, acute flaccid myelitis. Although causative agent can be viral, paraneoplastic syndrome, systemic inflammatory autoimmune disorders like SLE, Sjogrens, etc, the causative agent is seldom proven and in those cases it is considered idiopathic transverse myelitis. Presentation: Rapid onset of weakness, sensory alterations, and bowel or bladder dysfunction; bimodal peak in ages of 10 to 19 and 30 to 39 years have been reported. There is no gender or familial distribution identified. White matter involvement may be associated with initial flaccidity followed by spasticity; while gray matter involvement would lead to persistent flaccid paralysis. Assessment: To find if etiology is parainfectious or non infectious with history and physical exam. Evaluate for infection including EBV, herpesviruses, enterovirus and syphillis, r/o deficience of copper, ceruplasmin, B12, methylmalonic acid, and vitamin E; urgent MRI of spine (without evidence of cord compression, with T2 hyperintense signal change), lumbar puncture, IgG index. Localization of spinal level is important. Plan: Treatment tailored to underlying disorder. Prognosis: Spectrum of Prognosis: from reversible (deficiency syndromes) to fatal (due to underlying malignancy). Idiopathic cases typically have partial recovery 1-3 months post onset with rehab therapy but a degree of persistent disability common in 40%.",,,Y
139899000,139899000,139899000,Pemphigoid,139899,"Overview: Rare autoimmune conditions that causes blistering and rashes on the skin and mucous membranes. The body mistakenly sends antibodies to bind to cells in the skin. These antibodies trigger a chain reaction that separates the bottom layer of cells from above layers. Bullous pemphigoid. Cicatricial pemphigoid. Pemphigoid gestationis. Presentation: skin rashes and blistering, itchy patches, irritated blistersAssessment: Blisters are present, skin biopsy, blood tests (antibodies), thyroid testing (rule-out other diseases)Plan: Steroids, skin emollients, anti-inflammotory drugs, antibiotics for infection, immunosuppressantsPrognosis: Weeks to years of treatment before the symptoms resolve entirely. Recurrences are also extremely common.",,,
