cohortName,ruleSequence,ruleName,cohortId
207,1,No Constitutional Pure Red Cell Aplasia,207
207,2,No normal Hemoglobin measurement in blood on index date,207
207,3,No normal Hematocrit measurement in blood on index date,207
207,4,No Polycythemia on index date,207
207,5,No Bone marrow transplant,207
208,0,Inpatient Visit,208
208,1,No Normal Neutrophil count (ANC ),208
209,0,Washout period - 365 days,209
209,1,No normal low Hemoglobin measurement in blood on index date,209
209,2,No Polycythemia on index date,209
209,3,No Hereditary hemoglobinopathy,209
209,4,No Erythrocyte membrane defect,209
209,5,No Hereditary hemolytic anemia,209
209,6,No Glucose-6-phosphate dehydrogenase deficiency anemia,209
209,7,No Inherited disorder of porphyrin metabolism,209
209,8,No Paroxysmal nocturnal hemoglobinuria,209
210,0,No normal low Hemoglobin measurement in blood on index date,210
210,1,No Polycythemia on index date,210
210,2,No Hereditary hemoglobinopathy,210
210,3,No Erythrocyte membrane defect,210
210,4,No Hereditary hemolytic anemia,210
210,5,No Inherited disorder of porphyrin metabolism,210
210,6,No Paroxysmal nocturnal hemoglobinuria,210
211,0,"No Congenital or Genetic Neutropenia, Leukopenia or Agranulocytosis",211
211,1,No Congenital or Genetic anemia,211
211,2,No Congenital or Genetic Thrombocytopenia,211
213,0,"No congenital or genetic neutropenia, leukopenia or agranulocytosis",213
213,1,No Normal Neutrophil count on index date,213
213,2,No Neutrophilia on index date,213
214,0,"No congenital or genetic neutropenia, leukopenia or agranulocytosis",214
214,1,No Normal Neutrophil count on index date,214
214,2,No Neutrophilia on index date,214
214,3,No Pancytopenia or bone marrow disorder within 7 days,214
214,4,No Anemia diagnosis within 7 days,214
214,5,No low Hemoglobin measurement in blood within 7 days,214
214,6,No low Hematocrit measurement in blood within 7 days,214
214,7,No thrombocytopenia within 7 days,214
214,8,No low Platelet measurement in blood within 7 days,214
215,0,No congenital or genetic thrombocytopenia,215
215,1,No Platelet count > 100 on index date,215
215,2,No thrombocytosis on index date,215
215,3,No Pancytopenia or bone marrow disorder diagnosis within 7 days,215
215,4,"No Neutropenia, Agranulocytosis diagnosis within 7 days",215
215,5,No low neutrophil count within 7 days,215
215,6,No Anemia diagnosis within 7 days,215
215,7,No low Hemoglobin measurement in blood within 7 days,215
216,0,365 days  washout period ,216
216,1,No congenital or genetic thrombocytopenia,216
216,2,No Platelet count > 100 on index date,216
216,3,No thrombocytosis on index date,216
216,4,No Hypersplenism,216
216,5,No Antiphospholipid syndrome,216
216,6,No Paroxysmal nocturnal hemoglobinuria,216
216,7,No Hemolytic uremic syndrome,216
216,8,No Thrombotic microangiopathy,216
216,9,"No major autoimmune disorders (RA, MS, Psoriasis, SLE, CD, UC, Addisons, Graves, Sjogren, Myasthenia Gravis, Vasculitis, Celiac)",216
216,10,No Chronic Liver Disease,216
216,11,No Pregnancy related HELLP syndrome (in past 3 months),216
216,12,"No tumors of hematopoietic cells including lymphoma, leukemia, myeloma and related",216
216,13,No Nutritional deficiency,216
216,14,No Pancytopenia or bone marrow disorder diagnosis within 7 days,216
216,15,"No Neutropenia, Agranulocytosis diagnosis within 7 days",216
216,16,No low neutrophil count within 7 days,216
216,17,No Anemia diagnosis within 7 days,216
216,18,No low Hemoglobin measurement in blood within 7 days,216
216,19,No low Hematocrit measurement in blood within 7 days,216
217,0,No congenital or genetic thrombocytopenia,217
217,1,No Platelet count > 150 on index date,217
218,0,Washout period - 180 days,218
218,1,Requires hospitalization,218
218,2,No major trauma in last 14 days,218
218,3,No major burn in last 14 days,218
218,4,No major drowning in last 14 days,218
218,5,No major hypothermia in last 14 days,218
218,6,No major hyperthermia or hyperpyrexia in last 14 days,218
218,7,No Sepsis inpatient in last 14 days,218
218,8,No Sepsis in last 14 days,218
218,9,No Crush Syndrome in last 14 days,218
218,10,No March myoglobinuria in last 14 days,218
218,11,Not due to exertional reasons in last 14 days,218
218,12,No alcohol intoxication in the last 14 days ,218
219,0,Has Inpatient or ER visit ,219
220,0,Angioedema within 3 days  ,220
220,1,No Cardiac Edema,220
220,2,No Cellulitis,220
220,3,No Erysipelas,220
220,4,No Dermatitis or Eczema,220
220,5,No Lymphedema ,220
220,6,No insect bites,220
221,0,No Food anaphylaxis on index date,221
221,1,No anaphylaxis due to substances other than food or drug on index date,221
221,2,No anaphylaxis due insect bite on index date,221
221,3,No insect bite or sting,221
221,4,No Toxic effect of venom,221
221,5,Accidental poisoning,221
222,0,Visit is Inpatient or Emergency Room,222
223,0,Does NOT have hypertensive encephalopathy at baseline ,223
223,1,Does NOT have Eclampsia at baseline ,223
224,0,Washout period - 180 days,224
224,1,Has No Congenital QT Syndrome,224
225,0,No Systemic Lupus Erythematosus,225
230,0,has no certain chronic liver disease events in prior 0 - 365 days,230
230,1,has no Systemic Lupus Erythematosus events in prior 0 - 365 days,230
233,0,has no events in prior 'clean window' - 180 days,233
239,0,No hypersomnia in 365 days prior to index and including index,239
251,0,Should have Acute Pancreatitis within 1 day,251
251,1,Should NOT have Chronic Pancreatitis on or before Acute Pancreatitis,251
251,2,Should NOT have Hereditary Pancreatitis any time,251
253,0,Should have Acute Pancreatitis within 1 day,253
253,1,Should NOT have Chronic Pancreatitis on or before Acute Pancreatitis,253
253,2,Should NOT have Hereditary Pancreatitis any time,253
253,3,Should NOT have Alcoholic Pancreatitis on or before Acute Pancreatitis,253
253,4,Should NOT have evidence Alcoholism or Severe Alcohol related disorders in past 1 year,253
253,5,Should NOT have evidence Alcohol intoxication in past 30 days,253
253,6,Should NOT have evidence Cholangitis or Cholecystitis in past 1 year,253
253,7,Should NOT have evidence Biliary Tract Disease in past in past 1 year,253
253,8,Should NOT have evidence of recent Endoscopic retrograde cholangiopancreatography,253
253,9,Should NOT have evidence of Intestinal ischemia including acute mesenteric ischemia,253
253,10,Should NOT have evidence of Gastrointestinal perforation,253
253,11,Should NOT have evidence of Intestinal Obstruction,253
254,0,Adult Age,254
254,1,Additional Criteria,254
255,0,"No occurrence of any other specific dementia diagnosis (e.g., VD, Pick’s disease, or Lewy body dementia [LBD]) after the Alzheimer's disease diagnosis date",255
255,1,No occurrence of Stroke diagnosis within 2 years prior to the Alzheimer's disease diagnosis date,255
255,2,>= 18 years old,255
256,0,has no events in prior 'clean window' 183 days,256
256,1,Remove congenital Facial Palsy,256
256,2,Not Upper Motor Neuron,256
264,0,Prior Liver Disease,264
265,0,Chronic Hepatic Failure,265
265,1,Viral Hepatitis,265
265,2,Liver Cirrhosis,265
265,3,Liver Fibrosis,265
265,4,Toxic Liver Disease (7d),265
265,5,Hepatic Necrosis (7d),265
265,6,Alcohol use disorder,265
265,7,Alcoholic Hepatitis,265
265,8,Alcoholic Fatty Liver,265
265,9,"Malignancies that spread to liver (breast, esophageal, stomach, pancreatic, lung, kidney, melanoma)",265
265,10,Chronic Hepatic Failure,265
265,11,Other Chronic Liver Disease,265
265,12,Ascites (7d),265
265,13,Portal Hypertension (7d),265
265,14,History of Liver Transplant,265
265,15,Cholestasis (7d),265
265,16,Non-Alcoholic Fatty Liver Disease,265
265,17,Autoimmune Hepatitis,265
265,18,Primary Biliary Cholangitis,265
265,19,Hemochromatosis,265
265,20,Wilsons Disease,265
265,21,Neoplasm of liver,265
265,22,Other liver problems entry event criteria,265
267,0,Has prior chronic kidney disease,267
267,1,No ESKD at baseline,267
267,2,No chronic dialysis at baseline (-365 to 8 days) ,267
267,3,No Kidney Transplant any time prior ,267
268,0,Has no prior chronic kidney disease,268
268,1,No ESKD at baseline,268
268,2,No chronic dialysis at baseline (-365 to 8 days) ,268
268,3,No Kidney Transplant any time prior ,268
269,0,Washout period with no AKI codes,269
269,1,No ESKD at baseline,269
269,2,No chronic dialysis at baseline (-365 to 8 days) ,269
269,3,No Kidney Transplant any time prior ,269
27,0,No Chronic Obstructive Lung Disease (COPD) prior,27
270,0,No normal low Hemoglobin measurement in blood on index date,270
270,1,No Polycythemia on index date,270
273,0,Has Inpatient or ER visit ,273
274,0,Has Inpatient or ER visit ,274
276,0,Washout - no prior vision loss in 365 days prior,276
276,1,No eye pathology,276
277,0,Not a congenital anomaly of hearing,277
277,1,Has no middle ear related disease,277
277,2,Has no inner ear related disease,277
277,3,Has not had audiometry in past 365 days,277
278,0,Non Chronic Pain,278
28,0,No prior asthma,28
283,0,No Prior Chronic Prostatitis,283
283,1,No history of Prostatitis prior to first prostatitis,283
283,2,No testicular lesions,283
283,3,No bladder neoplasm,283
283,4,No abdominal or inguinal hernia,283
285,0,Remove subjects with Infectious Myocarditis or Pericarditis,285
288,0,no Type 1 diabetes mellitus diagnosis on or prior to T2DM,288
288,1,no secondary diabetes diagnosis on or prior to T2DM,288
288,2,has at least one diagnosis of T2DM on or within 365d of index date,288
290,0,Thyroiditis including hypothyroidism and hyperthyroidism,290
290,1,Excluding alternative causes of hypothyroidism,290
291,0,Require Gynecomastia diagnosis ,291
292,0,have no chronic hepatic failure,292
294,0,Chronic Hepatic Failure,294
294,1,Viral Hepatitis,294
294,2,Liver Cirrhosis,294
294,3,Liver Fibrosis,294
294,4,Toxic Liver Disease (7d),294
294,5,Hepatic Necrosis (7d),294
294,6,Alcohol use disorder,294
294,7,Alcoholic Hepatitis,294
294,8,Alcoholic Fatty Liver,294
294,9,"Malignancies that spread to liver (breast, esophageal, stomach, pancreatic, lung, kidney, melanoma)",294
294,10,Chronic Hepatic Failure,294
294,11,Other Chronic Liver Disease,294
294,12,Ascites (7d),294
294,13,Portal Hypertension (7d),294
294,14,History of Liver Transplant,294
294,15,Cholestasis (7d),294
294,16,Non-Alcoholic Fatty Liver Disease,294
294,17,Autoimmune Hepatitis,294
294,18,Primary Biliary Cholangitis,294
294,19,Hemochromatosis,294
294,20,Wilsons Disease,294
294,21,Neoplasm of liver,294
294,22,Other liver problems entry event criteria,294
295,0,Chronic Hepatic Failure,295
295,1,Viral Hepatitis,295
295,2,Liver Cirrhosis,295
295,3,Liver Fibrosis,295
295,4,Toxic Liver Disease (7d),295
295,5,Hepatic Necrosis (7d),295
295,6,Alcohol use disorder,295
295,7,Alcoholic Hepatitis,295
295,8,Alcoholic Fatty Liver,295
295,9,"Malignancies that spread to liver (breast, esophageal, stomach, pancreatic, lung, kidney, melanoma)",295
295,10,Chronic Hepatic Failure,295
295,11,Other Chronic Liver Disease,295
295,12,Ascites (7d),295
295,13,Portal Hypertension (7d),295
295,14,History of Liver Transplant,295
295,15,Cholestasis (7d),295
295,16,Non-Alcoholic Fatty Liver Disease,295
295,17,Autoimmune Hepatitis,295
295,18,Primary Biliary Cholangitis,295
295,19,Hemochromatosis,295
295,20,Wilsons Disease,295
295,21,Neoplasm of liver,295
295,22,Other liver problems entry event criteria,295
298,0,Exclude any event preceded by kidney biopsy in -7 to -1 days,298
298,1,Exclude chronic kidney disease or dialysis,298
298,2,Exclude any event that is preceded by renal or glomerular disease -365 to 0,298
30,0,At least 3 distinct drug eras of TB drugs,30
300,0,Gender = Female,300
300,1,Not eligible during a pregnancy,300
300,2,Not eligible after menopause,300
305,0,No NF2,305
305,1,No vestibular schwannoma,305
305,2,No hearing loss,305
306,0,Neurofibromatosis,306
307,0,Neurofibromatosis,307
308,0,>=3 Ophthalmology Visits,308
308,1,MRI of Brain,308
318,0,have no chronic hepatic failure on the day of diagnosis ,318
324,0,No evidence of no pain,324
332,0,Chronic Pain,332
344,0,Should not be overlapping with an Inpatient site of care,344
344,1,Should not be overlapping with an Inpatient Care as defined by procedure or observation codes,344
344,2,Should not be overlapping with Emergency room site of care,344
344,3,Should not be overlapping with Urgent Care as defined by procedure or observation codes,344
346,0,Should not be overlapping with an Inpatient site of care,346
346,1,Should not be overlapping with an Inpatient Care as defined by procedure or observation codes,346
346,2,Should not be overlapping with Emergency room site of care,346
346,3,Should not be overlapping with Urgent Care as defined by procedure or observation codes,346
358,0,No Chronic Respiratory Failure in past 365 days,358
362,0,Washout period with no AKI codes,362
362,1,No ESKD at baseline,362
362,2,No chronic dialysis at baseline (-365 to 8 days) ,362
362,3,No Kidney Transplant any time prior ,362
373,0,No normal low Hemoglobin measurement in blood on index date,373
373,1,No Polycythemia on index date,373
403,0,Inpatient or Emergency room visit,403
404,0,Has Inpatient or ER visit ,404
412,0,has no events in prior 'clean window' - 365 days,412
45,0,Has a lab test for SARS-Cov-2 test within 3 days,45
53,0,Have atleast 1 positive,53
54,0,Has febrile seizure diagnosis ,54
59,0,No SARS-Cov-2 test,59
60,0,Positive test result,60
60,1,Negative test result,60
63,0,has no events in prior 'clean window' - 365 days,63
693,0,"No congenital or genetic neutropenia, leukopenia or agranulocytosis",693
693,1,No Normal Neutrophil count on index date,693
693,2,No Neutrophilia on index date,693
719,0,have no chronic hepatic failure on the day of diagnosis ,719
719,1,no cooccurring viral hepatitis around index date,719
719,2,no cooccurring Alcoholic hepatitis or alcoholic liver failure around index date,719
720,0,"No Bone Marrow Hyperplasia, Infiltration including Lymphoma, Leukemia",720
720,1,Not pure red cell aplasia,720
721,0,Washout - no prior vision loss in 365 days prior,721
721,1,No eye pathology,721
722,0,has 2 or more endometriosis diagnoses,722
722,1,is female,722
722,2,is aged 15-49,722
723,0,Chronic Hepatic Failure ,723
723,1,History of Liver Cirrhosis,723
723,2,History of Liver Transplant,723
724,0,Chronic Hepatic Failure ,724
724,1,Liver Cirrhosis,724
724,2,History of Liver Transplant,724
724,3,coccurring viral hepatitis around the same time ,724
724,4,cooccurring Alcoholic hepatitis or alcoholic liver failure ,724
724,5,cooccurring hepatorenal disorder indicating a probable chronic liver disease  ,724
725,0,Washout period with no AKI codes,725
725,1,No ESKD at baseline,725
725,2,No chronic dialysis at baseline (-365 to 8 days) ,725
725,3,No Kidney Transplant any time prior ,725
726,0,Washout period 30 days - applied only to outpatient visit,726
726,1,No Food anaphylaxis on index date,726
726,2,No anaphylaxis due to substances other than food or drug on index date,726
726,3,No anaphylaxis due insect bite on index date,726
726,4,No insect bite or sting,726
726,5,No Toxic effect of venom,726
726,6,Accidental poisoning,726
727,0,Angioedema within 3 days  ,727
727,1,Washout period 180 days,727
727,2,No Cardiac Edema,727
727,3,No Cellulitis,727
727,4,No Erysipelas,727
727,5,No Dermatitis or Eczema,727
727,6,No Lymphedema ,727
727,7,No insect bites,727
729,0,has no autoimmune hepatitis events in prior 'clean window' - 365 days,729
729,1,has no certain chronic liver disease events in prior 0 - 365 days,729
729,2,has no Systemic Lupus Erythematosus events in prior 0 - 365 days,729
730,0,Washout period of 365 days,730
730,1,Should have Acute Pancreatitis within 1 day,730
730,2,Should NOT have Chronic Pancreatitis on or before Acute Pancreatitis,730
730,3,Should NOT have Hereditary Pancreatitis any time,730
731,0,Washout - no prior hearing loss in 365 days prior,731
731,1,Not a congenital anomaly of hearing,731
731,2,Has no middle ear related disease,731
731,3,Has no inner ear related disease,731
731,4,Has not had audiometry in past 365 days,731
732,0,has no events in prior 'clean window' - 365 days,732
733,0,has no events in prior 'clean window' - 365 days,733
735,0,have no chronic hepatic failure on the day of diagnosis ,735
736,0,have no chronic hepatic failure on the day of diagnosis ,736
736,1,cooccurring viral hepatitis around the same time ,736
736,2,cooccurring Alcoholic hepatitis or alcoholic liver failure ,736
737,0,Inpatient Visit,737
737,1,No Normal Neutrophil count (ANC ),737
739,0,washout period of 365 days  ,739
739,1,No congenital or genetic thrombocytopenia,739
739,2,No Platelet count > 100 on index date,739
739,3,No thrombocytosis on index date,739
739,4,No Pancytopenia or bone marrow disorder diagnosis within 7 days,739
739,5,"No Neutropenia, Agranulocytosis diagnosis within 7 days",739
739,6,No low neutrophil count within 7 days,739
739,7,No Anemia diagnosis within 7 days,739
739,8,No low Hemoglobin measurement in blood within 7 days,739
741,0,No congenital or genetic thrombocytopenia,741
741,1,No Platelet count > 150 on index date,741
750,0,Must have Left heart disease ,750
750,1,Must have undegone Echocardiography or RHC,750
751,0,Must have Chronic Lung Disease ,751
751,1,Echocardiography or RHC,751
752,0,with an ER or IP visit on index,752
753,0,with an ER or IP visit ,753
754,0,2nd down syndrome code within 365 days after index,754
756,0,2nd code 365 days after index,756
771,0,Minimum observation period of 365 days,771
771,1,Must have Left heart disease ,771
771,2,Must have undegone Echocardiography or RHC,771
772,0,Minimum observation period of 365 days,772
772,1,Must have Chronic Lung Disease ,772
772,2,Echocardiography or RHC,772
78,0,Limit to inpatient visit,78
785,0,burn treatment in 180 days after index,785
792,0,Male,792
792,1,age 18+,792
792,2,Dx of PCa,792
792,3,No other primary,792
793,0,Male,793
793,1,age 18+,793
793,2,dx of PCa,793
793,3,No other primary,793
793,4,No Orchiectomy,793
793,5,No ADT,793
793,6,Surgery or RT,793
812,0,MSI-H or dMMR,812
812,1,no surgery or oncological treatment,812
813,0,Colorectal cancer,813
814,0,"No surgery, No oncological treatment",814
817,0,"No surgery, No oncological treatment",817
818,0,NO MSI-H or dMMR,818
818,1,"MSI-L, MSI-indeterminate, MSS or pMMR",818
819,0,NO MSI-H or dMMR,819
819,1,"MSI-L, MSI-indeterminate, MSS or pMMR",819
819,2,Colorectal cancer,819
820,0,NO MSI-H or dMMR,820
820,1,"MSI-L, MSI-indeterminate, MSS or pMMR",820
820,2,No surgery,820
820,3,Colorectal cancer,820
821,0,NO MSI-H or dMMR,821
821,1,"MSI-L, MSI-indeterminate, MSS or pMMR",821
821,2,No surgery or oncological treatment,821
822,0,MSI-H or dMMR,822
822,1,Colorectal cancer,822
823,0,MSI-H or dMMR,823
823,1,No surgery,823
823,2,Colorectal cancer,823
824,0,MSI-H or dMMR,824
826,0,"No surgery, No oncological treatment",826
827,0,Colon cancer,827
828,0,No surgery,828
828,1,Colon cancer,828
829,0,NO MSI-H or dMMR,829
829,1,"MSI-L, MSI-indeterminate, MSS or pMMR",829
830,0,NO MSI-H or dMMR,830
830,1,"MSI-L, MSI-indeterminate, MSS or pMMR",830
830,2,Colon cancer,830
831,0,NO MSI-H or dMMR,831
831,1,"MSI-L, MSI-indeterminate, MSS or pMMR",831
831,2,No surgery,831
831,3,Colon cancer,831
832,0,NO MSI-H or dMMR,832
832,1,"MSI-L, MSI-indeterminate, MSS or pMMR",832
832,2,No surgery or oncological treatment,832
833,0,MSI-H or dMMR,833
834,0,MSI-H or dMMR,834
834,1,Colon cancer,834
835,0,NO MSI-H or dMMR,835
835,1,"MSI-L, MSI-indeterminate, MSS or pMMR",835
835,2,No surgery,835
835,3,Colon cancer,835
836,0,MSI-H or dMMR,836
836,1,no surgery or oncological treatment,836
838,0,MSI-H or dMMR,838
839,0,MSI-H or dMMR,839
839,1,no surgery or oncological treatment,839
840,0,MSI-H or dMMR,840
840,1,no surgery,840
840,2,Rectal cancer,840
841,0,MSI-H or dMMR,841
841,1,Rectal cancer,841
842,0,NO MSI-H or dMMR,842
